X,Y,OBJECTID,PANTHERID,SEX,AGE,LOCATION,CAUSE,YEAR,Date,PANTHERID2,MORTID,AGE_UNITS,COUNTY,last_edited_date
557969.275600001,465429.4715,11,UCFP488,Male,2.5,"I-75, 0.6 miles south of SR 56",Vehicular trauma,2025,2025/07/01 00:00:00+00,,MN-01277,Years,Pasco,2025/08/22 19:21:02+00
643585.806899998,277310.6792,12,UCFP463,Male,2,E of Whidden Loop Rd and Lost Lane on Corkscrew RD. In standing water.,Vehicular trauma,2024,2024/07/05 00:00:00+00,,MN-01246,Years,Collier,2025/08/22 19:21:02+00
655429.373599999,274013.0751,13,UCFP464,Male,1,"SR29, 472 m north of where New Market Rd merges with SR29 on North side of Immokalee",Vehicular trauma,2024,2024/08/21 00:00:00+00,,MN-01247,Years,Collier,2025/08/22 19:21:02+00
639025.5284,274031.5635,14,FP268,Female,6.5,"North shoulder of Corkscrew Road, 340m east of Titan Rock Mine entrance.",Vehicular trauma,2024,2024/08/24 00:00:00+00,,MN-01248,Years,Lee,2025/08/22 19:21:02+00
627582.171399999,242098.9614,15,UCFP465,Male,2.5,"I-75, mile marker 103. Just west of Santa Barbara overpass, northbound lane.",Vehicular trauma,2024,2024/08/29 00:00:00+00,,MN-01249,Years,Collier,2025/08/22 19:21:02+00
671040.9549,284772.7399,16,K524,Female,32,"OK Slough WMA, Bear scat piles found nearby.",Predation,2024,2024/09/03 00:00:00+00,,MN-01251,Days,Hendry,2025/08/22 19:21:02+00
671022.333700001,284840.4635,17,K522,Male,32,"OK Slough WMA; bear scat piles found nearby.",Predation,2024,2024/09/03 00:00:00+00,,MN-01250,Days,Hendry,2025/08/22 19:21:02+00
700519.010600001,277824.2878,18,UCFP466,Female,10,Hit by a vehicle on CR835 between forested hammock surrounded by cropland on the west side of the street and cropland on the east side of the street.,Vehicular trauma,2024,2024/09/17 00:00:00+00,,MN-01253,Years,Hendry,2025/08/22 19:21:02+00
664895.570700001,237043.999,19,UCFP467,Female,6,Private property,Unknown,2024,2024/09/19 00:00:00+00,,MN-01252,Years,Collier,2025/08/22 19:21:02+00
671863.4923,264761.9108,20,FP247,Female,11,"County Line Road, approximately 6.8km south of CR846.  Carcass was on the west side of the road, hence in Collier County",Vehicular trauma,2024,2024/09/21 00:00:00+00,,MN-01254,Years,Collier,2025/08/22 19:21:02+00
628424.697299998,274144.6482,21,UCFP468,Female,4,"Corkscrew Rd, 130 m W of Alico Rd junction. This is right where the fencing ends on the western side for the Alico-Corkscrew panther-crossing structure.",Vehicular trauma,2024,2024/10/02 00:00:00+00,,MN-01255,Years,Lee,2025/08/22 19:21:02+00
639572.234900001,263037.4942,22,UCFP469,Female,1.5,"Immokalee Road, 237m south of Wild Turkey Drive on west shoulder of southbound lane.",Vehicular trauma,2024,2024/10/27 00:00:00+00,,MN-01256,Years,Collier,2025/08/22 19:21:02+00
651097.2925,265007.0485,23,UCFP471,Male,9,Euthanized at TampaZoo on 11/12/24 and transported to Gainesville Lab for necropsy. Immokalee Rd 2.5 miles east of oil well grade Rd.,Vehicular trauma,2024,2024/10/30 00:00:00+00,,MN-01259,Years,Collier,2025/08/22 19:21:02+00
645781.188900001,279129.1981,24,UCFP470,Female,2,"Corkscrew Road, 1.1 miles south of SR 82",Vehicular trauma,2024,2024/11/08 00:00:00+00,,MN-01257,Years,Collier,2025/08/22 19:21:02+00
621915.511,266386.0724,25,UCFP472,Female,,"I-75, mile marker 119. Between Bonita Beach and Corkscrew exits.",Vehicular trauma,2024,2024/11/17 00:00:00+00,,MN-01258,Years,Lee,2025/08/22 19:21:02+00
665212.338300001,226253.2905,26,UCFP473,Male,3.5,2 miles south of Deep 50 gun range on South Bound SR-29. Laying in grass off to the side of the road. ,Vehicular trauma,2024,2024/11/22 00:00:00+00,,MN-01260,Years,Collier,2025/08/22 19:21:02+00
693452.641399998,243992.587,27,K446,Male,9,"I75, mile marker 62, N bound",Vehicular trauma,2024,2024/11/29 00:00:00+00,,MN-01261,Years,Collier,2025/08/22 19:21:02+00
649136.315099999,316127.9939,28,UCFP474,Male,7.5,"Loblolly Bay Rd SW, 1/3 mile west of Fernwood Lane",Vehicular trauma,2024,2024/12/04 00:00:00+00,,MN-01262,Months,Glades,2025/08/22 19:21:02+00
630810.925500002,383310.3846,29,UCFP475,Male,3.5,Johnston Road about 1.6 miles south of SR66,Vehicular trauma,2024,2024/12/10 00:00:00+00,,MN-01265,Years,Hardee,2025/08/22 19:21:02+00
658997.339200001,346649.6845,30,UCFP476,Male,2.25,"Old SR8, NW of Venus.  0.8 miles north of Creekview Rd.",Vehicular trauma,2024,2024/12/21 00:00:00+00,,MN-01266,Years,Highlands,2025/08/22 19:21:02+00
700008.107299998,244311.4191,31,UCFP477,Male,4,"I75, MM 58, N bound. 120 m west of overpass.",Vehicular trauma,2024,2024/12/23 00:00:00+00,,MN-01263,Years,Collier,2025/08/22 19:21:02+00
626465.5656,260632.3932,32,UCFP478,Male,2.25,Bonita Beach Road in the median turn lane.  Location was 1.1km (0.69 miles) east of intersection with Bonita Grande Dr.,Vehicular trauma,2024,2024/12/26 00:00:00+00,,MN-01264,Years,Lee,2025/08/22 19:21:02+00
660496.032000002,241594.6843,33,FP001,Male,13,SR 84 (now I-75),Vehicular trauma,1983,1983/12/14 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
661714.309900001,224244.2626,34,FP002,Male,14,FSSP,Intraspecific aggression,1984,1984/12/05 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
657046.600499999,223177.3062,35,FP003,Female,9,FSSP,Capture related,1983,1983/01/17 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
659498.878600001,241561.5527,36,FP004,Male,12,SR 84 (now I-75),Vehicular trauma,1985,1985/04/18 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
663775.118799999,247729.5772,37,FP005,Female,8.5,Fakahatchee Conservation Club (now FPNWR),Unknown,1983,1983/11/18 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
709137.483899999,237065.788,38,FP006,Male,7,SBCNP Cypress head 2-3 miles west of airboat  trail off L-28 near camps,Other,1982,1982/04/16 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
665165.630899999,235253.2722,39,FP007,Male,10,"SR 29, 4 miles S of  SR 84 (now I-75)",Vehicular trauma,1985,1985/10/26 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
661838.510899998,252261.8417,40,FP010,Male,18,"Mud Lake Strand, now FPNWR",Intraspecific aggression,1987,1987/01/27 00:00:00+00, ,,Months,Collier,2025/08/22 19:21:02+00
665170.039299998,270582.6947,41,FP011,Female,19.5,"Private land, 200yds. S of CR846, 1 mile E of Dupree Rd.",Intraspecific aggression,2001,2001/02/27 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
684980.061799999,257999.5417,42,FP012,Male,13.5,Bear island,Intraspecific aggression,1994,1994/11/09 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
665020.2337,253905.6795,43,FP013,Male,7,SR 29 Sunniland,Vehicular trauma,1987,1987/12/14 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
737277.974100001,157582.4102,44,FP014,Female,10.5,Everglades National Park,Unknown,1991,1991/06/21 00:00:00+00, ,,Years,Miami-Dade,2025/08/22 19:21:02+00
729025.982000001,155978.3139,45,FP015,Female,7,EVER,Intraspecific aggression,1988,1988/06/10 00:00:00+00, ,,Years,Miami-Dade,2025/08/22 19:21:02+00
746738.019000001,180544.367,46,FP016,Male,14,"EVER, NE boundary",Unknown,2000,2000/01/07 00:00:00+00, ,,Years,Miami-Dade,2025/08/22 19:21:02+00
697237.6151,249336.3995,47,FP017,Male,9,"NBCNP, near Tangerine Camp Addlands",Unknown,1990,1990/07/23 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
689284.761700001,269289.0807,48,FP018,Female,10.5,S of CR 846 near Rocky Lake,Intraspecific aggression,1990,1990/10/03 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
662847.851500001,252160.9609,49,FP019,Female,11.5,FPNWR,Unknown,1997,1997/12/03 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
730609.559300002,160524.8966,50,FP022,Female,4.5,EVER in solution hole Pinelands on Long Pine Key,Unknown,1991,1991/07/22 00:00:00+00, ,,Years,Miami-Dade,2025/08/22 19:21:02+00
699152.037599999,237288.7416,51,FP023,Female,14,"BCNP, 2 miles E of Turkey Foot. 17.1 mi N of Oasis visitor center",Degenerative diseases,2000,2000/12/01 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
667609.776900001,337545.4885,52,FP024,Male,4,near Palmdale,Unknown,1988,1988/08/22 00:00:00+00, ,,Years,Glades,2025/08/22 19:21:02+00
662545.6226,243134.8255,53,FP025,Male,4.5,FPNWR,Intraspecific aggression,1988,1988/08/26 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
681069.285100002,260596.278,54,FP026,Male,11.5,4 mi. E. Hendry Prison,Intraspecific aggression,1994,1994/07/11 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
740254.6208,195233.5149,55,FP027,Male,3.5,EVER,Unknown,1989,1989/07/26 00:00:00+00, ,,Years,Miami-Dade,2025/08/22 19:21:02+00
675252.625799999,264186.4493,56,FP029,Male,3.5,Gum Swamp,Infectious disease - Pseudorabies,1992,1992/05/27 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
661037.9527,220934.335,57,FP030,Male,22,FSSP,Intraspecific aggression,1990,1990/01/29 00:00:00+00, ,,Months,Collier,2025/08/22 19:21:02+00
664954.213,254033.3978,58,FP031,Female,13,SR 29 Sunniland,Vehicular trauma,1994,1994/03/04 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
650933.211399999,241424.7717,59,FP032,Female,15,FPNWR - Rock Island,Unknown,2002,2002/09/14 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
674480.7267,262610.8463,60,FP033,Male,3,2 mi. NW of Hendry Prison,Infectious disease - Pseudorabies,1989,1989/11/23 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
689773.3015,262049.7615,61,FP034,Male,5,near L28 W feeder canal,Unknown,1993,1993/11/15 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
709750.945099998,248208.5875,62,FP036,Female,14,"NBCNP, E of L28 interceptor canal",Unknown,1998,1998/10/12 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
664940.850400001,242814.8705,63,FP037,Male,4,"SR 29, 0.5 miles N of I-75",Vehicular trauma,1990,1990/11/26 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
706884.6899,223783.7118,64,FP038,Female,8.5,"Conservation Area 3A. Cypress National Preserve, Raccoon Point",Unknown,1994,1994/08/05 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
713671.3037,174940.5024,65,FP039,Male,3.5,EVER,Other,1990,1990/05/18 00:00:00+00, ,,Years,Monroe,2025/08/22 19:21:02+00
677575.091400001,245683.1103,66,FP040,Female,10,NBCNP - Bear Island,Intraspecific aggression,1998,1998/02/02 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
688210.5218,256683.5551,67,FP041,Female,2,W of BCSIR,Intraspecific aggression,1990,1990/09/26 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
690371.080800001,229094.3315,68,FP042,Male,6,SBCNP,Unknown,1995,1995/06/23 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
694299.006200001,256555.8548,69,FP043,Male,26,BCSIR,Intraspecific aggression,1991,1991/10/31 00:00:00+00, ,,Months,Hendry,2025/08/22 19:21:02+00
708823.2969,222126.9954,70,FP044,Male,2.5,"SBCNP, Raccoon Pt.",Intraspecific aggression,1993,1993/07/07 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
703408.6767,254522.9445,71,FP045,Male,7.5,BCSIR,Intraspecific aggression,1998,1998/08/03 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
688943.261500001,266447.6502,72,FP046,Male,9,Private land S. CR 846,Intraspecific aggression,1999,1999/02/03 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
660665.044100001,227069.5118,73,FP047,Male,18,FSSP,Intraspecific aggression,1993,1993/02/19 00:00:00+00, ,,Months,Collier,2025/08/22 19:21:02+00
667989.5735,255573.5005,74,FP048,Female,15,"On Jack Price Land east of 29 near Sunniland; Sunniland mine.",Unknown,2006,2006/10/30 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
692459.828699999,249699.3915,75,FP049,Female,12,"BCNP Addition Lands, male scrape found outside of hammock, panther witnessed leaving carcass",Intraspecific aggression,2002,2002/01/04 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
666885.457699999,271184.6683,76,FP050,Male,2.5,"CR 846, 5 miles E of Immokalee",Vehicular trauma,1993,1993/12/06 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
664859.770799998,248852.4864,77,FP051,Male,9,"SR 29, Bear Island Grade",Vehicular trauma,1998,1998/07/20 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
664082.914700001,271052.6077,78,FP052,Female,3.3,CR 846 near Dupree Road,Vehicular trauma,1995,1995/01/13 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
660548.295200001,250303.9371,79,FP053,Male,11,Private lands N of FPNWR,Intraspecific aggression,1993,1993/02/26 00:00:00+00, ,,Months,Collier,2025/08/22 19:21:02+00
678547.950800002,238187.6136,80,FP055,Female,11.6,BCNP,Intraspecific aggression,2004,2004/07/12 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
666365.135000002,267798.5869,81,FP058,Male,3,Sadie Cypress - 10-15ft from a small pond with evidence of thrashing and tracks that led up to large water moccasin,Intraspecific aggression,1997,1997/03/31 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
649809.697700001,244229.4017,82,FP059,Male,9.4,"Private property, just E of Ford Test Track",Intraspecific aggression,2004,2004/11/22 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
664997.771299999,252934.7618,83,FP063,Male,5,"SR 29, N of Pistol Pond",Other,2000,2000/01/17 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
641509.225099999,270110.6238,84,FP064,Male,2.5,Audubon's Corkscrew Sanctuary,Intraspecific aggression,1999,1999/03/26 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
680016.009599999,259173.2461,85,FP067,Female,5.5,"Private land, Gum Slough",Intraspecific aggression,2003,2003/01/15 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
694756.3246,250688.5074,86,FP068,Male,6,"NBCNP, W of Tangerine tram, BCNP Addition lands",Intraspecific aggression,2000,2000/03/03 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
691702.745000001,252119.9636,87,FP069,Female,8.3,NBCNP - Addition Lands. Eaten armadillo about 100' from where FP69 lay. ,Unknown,2005,2005/09/14 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
673260.1921,212644.3539,88,FP070,Female,8.6,"US 41, near Turner River",Vehicular trauma,2006,2006/01/14 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
699622.8728,254476.9061,89,FP072,Male,3.5,BCSIR,Intraspecific aggression,1998,1998/12/23 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
703018.447000001,255123.9489,90,FP073,Female,7.8,BCSIR - Game Pen,Infectious disease - Pseudorabies,2003,2003/07/02 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
663703.880100001,343438.9195,91,FP074,Male,2,"US 27, near Venus",Vehicular trauma,1999,1999/09/08 00:00:00+00, ,,Years,Glades,2025/08/22 19:21:02+00
662161.757199999,230618.885,92,FP076,Male,3,"FSSP, 1.9 miles W of SR 29 off of Lancaster Grade",Intraspecific aggression,1999,1999/11/15 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
702268.033100002,254763.8365,93,FP077,Female,6,Big Cypress Hunting Adventures (Game Pen) at Big Cypress Seminole Indian Reservation,Infectious disease - Pseudorabies,2003,2003/07/14 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
664688.506299999,244946.9064,94,FP078,Female,6,FPNWR - Fire Tower,Intraspecific aggression,2002,2002/10/18 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
694774.633499999,261479.619,95,FP080,Female,4,"W Boundary Road, BCSIR",Vehicular trauma,2000,2000/02/10 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
670916.405299999,278990.9227,96,FP082,Female,6,OSSF,Intraspecific aggression,2003,2003/05/13 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
645749.4397,220860.1412,97,FP083,Female,11.8,"US41 W of Port of the Isles, found in north bound lanes",Vehicular trauma,2011,2011/03/25 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
657317.0086,331397.6421,98,FP084,Male,14,"Fisheating Creek WMA, 5 miles W of US 27",Unknown,2000,2000/04/21 00:00:00+00, ,,Months,Glades,2025/08/22 19:21:02+00
737990.993299998,166230.8654,99,FP085,Male,5,EVER,Unknown,2004,2004/03/01 00:00:00+00, ,,Years,Miami-Dade,2025/08/22 19:21:02+00
709237.3024,229979.4088,100,FP086,Female,4, ,Other,2003,2003/11/07 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
701356.623199999,219894.3965,101,FP087,Female,4,SBCNP - 7 miles NNE of Oasis,Intraspecific aggression,2003,2003/06/27 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
684130.933600001,233631.8858,102,FP089,Male,3.5,"BCNP, 2 miles NW of Mud Lake",Intraspecific aggression,2000,2000/11/10 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
742476.4551,266873.0539,103,FP090,Male,1.9,"US 27, 2.5 miles N of Terrytown",Vehicular trauma,2001,2001/04/26 00:00:00+00, ,,Years,Palm Beach,2025/08/22 19:21:02+00
694128.038699999,230097.7774,104,FP091,Female,4.5,"BCNP, Turner River Unit",Intraspecific aggression,2003,2003/12/12 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
629684.452100001,273095.3535,105,FP092,Male,2.2,"CREW, N Flint Pen Strand",Intraspecific aggression,2001,2001/09/21 00:00:00+00, ,,Years,Lee,2025/08/22 19:21:02+00
680999.052299999,231942.0813,106,FP093,Female,16.8,"Big Cypress National Preserve, Turner River Unit, eastern Airplane Prairie. ",Unknown,2015,2015/12/02 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
645860.481699999,268065.3894,107,FP096,Male,1.75,"Private land, Hogan Island",Intraspecific aggression,2002,2002/01/18 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
664173.859200001,274970.6913,108,FP097,Male,2,"Private land, E of Gopher Ridge Grove, N of Immokalee",Intraspecific aggression,2001,2001/12/03 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
665042.138500001,252958.8923,109,FP098,Male,4.5,"SR 29, 1 km N of Pistol Pond",Vehicular trauma,2002,2002/07/01 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
639642.5491,260990.1664,110,FP099,Male,33,"CR 846, 1/4 mile N of Collier fairgrounds",Vehicular trauma,2002,2002/11/28 00:00:00+00, ,,Months,Collier,2025/08/22 19:21:02+00
712097.790800001,250653.6261,111,FP100,Male,10,"Miccosukee Reservation,  N of I-75",Unknown,2007,2007/01/25 00:00:00+00, ,,Years,Broward,2025/08/22 19:21:02+00
674815.655000001,213475.8128,112,FP102,Female,12.5,SBCNP,Intraspecific aggression,2010,2010/10/25 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
711665.6776,221225.0405,113,FP103,Female,7,"SBCNP Big Cypress National Preserve; In the Turner River Unit",Intraspecific aggression,2007,2007/08/08 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
661705.5198,248011.3047,114,FP105,Female,7,"FPNWR, SW corner of clearcut",Unknown,2002,2002/01/16 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
664982.9208,254250.6232,115,FP106,Female,3,"SR 29, entrance to Sunniland Mine",Vehicular trauma,2003,2003/02/20 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
663468.1402,246957.2984,116,FP107,Female,8,FPNWR,Unknown,2008,2008/08/06 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
711138.578400001,222764.7839,117,FP108,Male,22,"SBCNP, Raccoon Point",Infectious disease - Pseudorabies,2002,2002/11/18 00:00:00+00, ,,Months,Collier,2025/08/22 19:21:02+00
665708.1439,292699.2127,118,FP109,Male,10,"OSSF, N of CR 832",Intraspecific aggression,2003,2003/02/26 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
664949.3204,291823.5925,119,FP111,Male,9,"OSSF, N of CR 832",Intraspecific aggression,2002,2002/09/06 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
674273.724599998,249305.0606,120,FP112,Female,4,BCNP - Bear Island,Intraspecific aggression,2002,2002/09/13 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
664594.729400001,245107.0284,121,FP114,Male,1.5,"FPNWR, S of Oil Pad Rd.",Intraspecific aggression,2003,2003/10/17 00:00:00+00,K120,,Years,Collier,2025/08/22 19:21:02+00
662134.922699999,287487.3566,122,FP115,Female,4.5,"OSSF, Sick Island",Unknown,2003,2003/05/17 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
679892.882100001,257248.5002,123,FP116,Female,4.5,Williams Ranch,Intraspecific aggression,2007,2007/01/10 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
669470.9355,287324.327,124,FP117,Male,27,OSSF. East of wild cow grade. ,Infectious disease - Pseudorabies,2004,2004/07/28 00:00:00+00, ,,Months,Hendry,2025/08/22 19:21:02+00
702838.7755,255036.3692,125,FP118,Female,1,BCSIR - Game Pen,Infectious disease - Pseudorabies,2003,2003/04/04 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
665606.187199999,284456.4849,126,FP122,Female,2.5,"OSSF, NW Wild Cow Island",Unknown,2004,2004/02/13 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
644032.428800002,242840.0103,127,FP123,Male,3.5,OSSF,Intraspecific aggression,2011,2011/06/19 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
752505.223299999,198381.6113,128,FP125,Male,18,Krome Ave.  1.5 mi south of US41,Other,2004,2004/09/28 00:00:00+00, ,,Months,Miami-Dade,2025/08/22 19:21:02+00
668689.038400002,270332.1208,129,FP126,Male,1.6,"Private property, 1/2 mile S of CR 846, Sadie Cypress",Intraspecific aggression,2005,2005/01/03 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
710573.442400001,248603.5489,130,FP127,Male,5,NBCNP,Intraspecific aggression,2008,2008/03/17 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
701648.484999999,255306.1298,131,FP128,Female,7.2,"BCSIR, game pen",Unknown,2007,2007/09/27 00:00:00+00,K082,,Years,Hendry,2025/08/22 19:21:02+00
705596.414000001,221875.9725,132,FP129,Female,6,SBCNP,Unknown,2006,2006/03/22 00:00:00+00,K089,,Years,Collier,2025/08/22 19:21:02+00
636457.727600001,478523.3688,133,FP130,Male,4,"I-4, near Osceola, Orange county line. Found in westbound lane.",Vehicular trauma,2007,2007/03/21 00:00:00+00,K150,,Years,Osceola,2025/08/22 19:21:02+00
663944.3246,249902.9345,134,FP131,Male,9,"Horse Trial grounds, N of CR 858, W of SR 29",Other,2008,2008/04/16 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
669931.4837,278458.7435,135,FP132,Male,3,OSSF,Infectious disease - FeLV,2004,2004/07/22 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
661987.405000001,238207.5871,136,FP133,Male,12,FSSP. 4.6km southwest of SR29 on 1-75,Intraspecific aggression,2012,2012/03/03 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
704277.469700001,252606.3311,137,FP134,Male,5.5,"NBCNP, W of L-28, S of pipeline",Intraspecific aggression,2007,2007/01/31 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
659645.562600002,253681.3799,138,FP135,Male,2.5, ,Intraspecific aggression,2006,2006/10/26 00:00:00+00,K147,,Years,Collier,2025/08/22 19:21:02+00
681381.291299999,219595.5376,139,FP136,Female,4,"SBCNP, 2 miles NE of Burns Lake",Unknown,2005,2005/06/14 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
691230.343899999,215723.151,140,FP138,Male,7,"SBCNP, 5.5 km N of Monument Lake Campground",Unknown,2008,2008/05/12 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
658798.4747,248142.4799,141,FP140,Female,7,"FPNWR, SE of Hog Pond",Intraspecific aggression,2009,2009/06/12 00:00:00+00, ,,Years,Collier,2025/08/22 19:21:02+00
692392.085499998,267404.6727,142,FP141,Male,8.5,"west side of CR833, couple miles west of house with pond/pets",Unknown,2011,2011/01/05 00:00:00+00, ,,Years,Hendry,2025/08/22 19:21:02+00
